16,آذربایجان,عمران و توسعه آذربایجان ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
17,آذین کویر,عمران گستران آذین کویر ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
18,آر تبریز ارومیه,آزادراه تبریز-ارومیه ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
19,آرمان,بیمه آرمان ,سهامی عام بورسی ,ثبت شده پذیرفته نشده,بیمه وصندوق بازنشستگی به جز تامین اجتماعی,-
20,آرمان الکتریک ارگ,آرمان الکتریک ارگ ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
21,آرمان اندیش بازار,صندوق اختصاصی بازارگردانی آرمان اندیش ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,www.armanandishfund.com
22,آرمان پخت,خدمات پذیرایی صنعتی آرمان پخت ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
23,آرمان ثابت,صندوق سرمایه گذاری آرمان کارآفرین ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,-
24,آرمان سهام,صندوق سرمایه گذاری ثروت آفرین تمدن ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,www.armanfund.com
25,آرمان مختلط,صندوق سرمایه گذاری مختلط گوهر نفیس تمدن ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,-
26,آرمانی ثابت,صندوق سرمایه گذاری اندوخته توسعه صادرات آرمانی ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,www.edbifund.net
27,آریا,سبدگردان آریا ,نهاد مالی (سبدگردان) ,ثبت شده پذیرفته نشده,-,-
28,آریان,سرمایه گذاری پارس آریان ,سهامی عام بورسی ,ثبت شده پذیرفته نشده,سرمایه گذاریها,www.parsaryan.com
29,آریاناران سرچشمه,صنعتی و معدنی آریاناران سرچشمه ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
30,آزادراه امیرکبیر,آزادراه امیرکبیر ,نهادهای عمومی ,ثبت شده پذیرفته نشده,-,-
31,آزاد راه بندرعباس کرمان,احداث نگهداری و بهره برداری آزاد راه بندرعباس کرمان ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
32,آساس,صندوق سرمایه گذاری آسمان آرمانی سهام(ETF) ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,پذیرفته شده در فرابورس ایران,صندوق سرمایه گذاری قابل معامله,-
33,آسام,صندوق سرمایه گذاری آرمان سپهر آشنا (آیندگان)(ETF) ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,پذیرفته شده در فرابورس ایران,صندوق سرمایه گذاری قابل معامله,-
34,آسامید,صندوق سرمایه گذاری مشترک آسمان امید ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,پذیرفته شده در فرابورس ایران,صندوق سرمایه گذاری قابل معامله,http://asemanomid.com
35,آ س پ,آ.س.پ ,سهامی عام بورسی ,پذیرفته شده در فرابورس ایران,انبوه‌سازی، املاک و مستغلات,www.asp-co.ir
36,آسمان,خدمات هوایی آسمان ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
2249,خوارزمی بازار,,,,,
37,آسمان بازار,اختصاصی بازارگردانی آسمان زاگرس ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,-
38,آسمان مختلط,صندوق سرمایه گذاری مشترک آسمان خاورمیانه ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,-
39,آسمان یکم سهام,صندوق سرمایه گذاری مشترک آسمان یکم ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,-
40,آسیا,بیمه آسیا ,سهامی عام بورسی ,پذیرفته شده در بورس تهران,بیمه وصندوق بازنشستگی به جز تامین اجتماعی,-
41,آسیاتک,انتقال داده های آسیاتک ,سهامی عام بورسی ,ثبت نشده نزد سازمان,اطلاعات و ارتباطات,-
42,آشنا ثابت,صندوق سرمایه گذاری امین آشنا ایرانیان ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,-
43,آشنای دی ثابت,صندوق سرمایه گذاری حکمت آشنا ایرانیان ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,-
44,آکنتور,کنتورسازی ایران ,سهامی عام بورسی ,پذیرفته شده در بورس تهران,ابزار پزشکی، اپتیکی و اندازه‌گیری,www.ski.ir
45,آکورد,صندوق سرمایه گذاری آرمان آتی کوثر(ETF) ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,پذیرفته شده در فرابورس ایران,صندوق سرمایه گذاری قابل معامله,www.aaketf.com
46,آگاپه,خیریه و نیکوکاری مهر هوشمند ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
47,آگاس,صندوق سرمایه گذاری هستی بخش آگاه(ETF) ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,پذیرفته شده در فرابورس ایران,صندوق سرمایه گذاری قابل معامله,-
48,آگاه بازار,صندوق سرمایه گذاری اختصاصی بازارگردانی آگاه ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,www.agahgardan.com
49,آگاه سهام,صندوق سرمایه گذاری مشترک آگاه ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,-
50,آگاه نیکو,صندوق سرمایه گذاری یکم نیکوکاری آگاه ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,-
51,آلفا صنعت,آلفا صنعت البرز ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
52,آلیاژکار,آلیاژ کار اصفهان ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
53,آلیاژگسترکرمان,آلیاژکار مبین گستر کرمان ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
54,آمادانرژی,آماده انرژی دژ ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
55,آماد انرژی دژ,آماد انرژی دژ ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
56,آمیتیس ثابت,صندوق سرمایه گذاری اندوخته آمیتیس ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,-
57,آنتی بیوتیک,آنتی بیوتیک سازی ایران ,نهادهای عمومی ,ثبت شده پذیرفته نشده,-,-
58,آوا,صندوق سرمایه گذاری آوای معیار ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,صندوق سرمایه گذاری قابل معامله,https://avayemeyar.ir
59,آوا پزشک ایرانیان,آوا پزشک ایرانیان ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
60,آوا پزشک سلامت ایرانیان,آوا پزشک سلامت ایرانیان ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
61,آوای پردیس سلامت,آوای پردیس سلامت ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
62,آوای سلامت,آوای فناوری اطلاعات سلامت ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
63,آوای هنر,آوای هنر سلامت ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
64,آوید سهام,صندوق سرمایه گذاری مشترک امین آوید ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,www.aminavidfund.com
65,آهنگ آتیه,موسسه فرهنگی هنری آهنگ آتیه ,نهادهای عمومی ,ثبت شده پذیرفته نشده,-,-
66,آینده,بازرگانی صنعتی آینده سازان بهشت پارس ,سهامی عام بورسی ,ثبت شده پذیرفته نشده,-,-
67,آینده گستر,آینده گستر ,نهادهای عمومی ,ثبت شده پذیرفته نشده,-,-
68,اپال,فرآوری معدنی اپال کانی پارس ,سهامی عام بورسی ,پذیرفته شده در بورس تهران,استخراج کانه‌های فلزی,-
69,اپرداز,آتیه داده پرداز ,سهامی عام بورسی ,پذیرفته شده در فرابورس ایران,اطلاعات و ارتباطات,adpdigital.com
70,اتاپ,افق تامین انرژی پارس ,نهادهای عمومی ,ثبت شده پذیرفته نشده,-,-
169,بازرگانگستر قشم,آسیا گستر قشم ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
71,اتحاد ثابت,اتحاد آرمان اقتصاد ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,-
72,اتکام,بیمه اتکایی امین ,سهامی عام بورسی ,پذیرفته شده در فرابورس ایران,بیمه وصندوق بازنشستگی به جز تامین اجتماعی,www.aminre.ir
177,بازرگانی کشوری,بازرگانی صندوق بازنشستگی کشوری ,نهادهای عمومی ,ثبت شده پذیرفته نشده,-,-
73,اتکای,بیمه اتکایی ایرانیان ,سهامی عام بورسی ,پذیرفته شده در فرابورس ایران,بیمه وصندوق بازنشستگی به جز تامین اجتماعی,www.iranianre.com
74,اتوبوسرانی تهران,واحد اتوبوسرانی تهران و حومه ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
75,احداث,پایانه احداث ,نهادهای عمومی ,ثبت شده پذیرفته نشده,-,-
76,اخابر,مخابرات ایران ,سهامی عام بورسی ,پذیرفته شده در بورس تهران,مخابرات,www.tci .ir
77,اداری شهر,خدمات اداری شهر ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
78,ارتباطات پرشیا,ارتباطات پرشیا ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
79,ارتباط مشترک شهر,ارتباط مشترک شهر ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
80,ارجان صنعت,بین المللی ارجان صنعت فارس خوزستان ,نهادهای عمومی ,ثبت شده پذیرفته نشده,-,-
81,ارزش,صندوق سرمایه گذاری ارزش آفرین بیدار ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,پذیرفته شده در بورس تهران,صندوق سرمایه گذاری قابل معامله,-
82,ارزش آفرینان ثابت,صندوق سرمایه گذاری ارزش آفرینان دی ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,www.dayfund.net
83,ارزش آفرین بازار,صندوق سرمایه گذاری اختصاصی بازارگردانی ارزش آفرین صندوق بازنشستگی کشوری ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,-
84,ارزش صبا,ارزش آفرینان صبا ,نهادهای عمومی ,ثبت شده پذیرفته نشده,-,-
85,ارفع,آهن و فولاد ارفع ,سهامی عام بورسی ,پذیرفته شده در فرابورس ایران,فلزات اساسی,www.arfa-co.com
86,ارفع کرمان,ارفع سازان کرمان ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
87,ارگ جدید,خدمات مسافرتی ارگ جدید ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
88,ارگ سهام,صندوق سرمایه گذاری مشترک ارگ ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,-
89,ارمغان الماس سهام,صندوق سرمایه گذاری مشترک گنجینه ارمغان الماس ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,-
90,ارمغان ثابت,صندوق سرمایه گذاری ارمغان ایرانیان ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,www.armaghanfund.ir
91,اروندان,کشتی سازی اروندان ,نهادهای عمومی ,ثبت شده پذیرفته نشده,-,-
92,ازمحاسب,افق زرین محاسب ,نهادهای عمومی ,ثبت شده پذیرفته نشده,-,-
93,اساما,گروه ارتباطات ماهواره ای سامان ,سهامی عام بورسی ,ثبت نشده نزد سازمان,مخابرات,www.samansat.com
94,اشراق,مجتمع کشت و صنعت اشراق ,سهامی عام بورسی ,ثبت نشده نزد سازمان,-,-
95,اطداتک,اطلاع رسان داتک ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
96,اطلس,صندوق توسعه اندوخته آینده(ETF) ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,پذیرفته شده در فرابورس ایران,صندوق سرمایه گذاری قابل معامله,atlasetf.com
97,اطلس مس,خدماتی اطلس مس کویر ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
98,اعتباران,موسسه مالی و اعتباری ایرانیان ,سهامی عام بورسی ,ثبت نشده نزد سازمان,-,-
99,اعتبار ثابت,صندوق سرمایه گذاری اعتبار آفرین ایرانیان ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,www.etebarafarin.com
100,اعتبار خصوصی,اعتبار سرمایه نوآفرین ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,پذیرفته شده در فرابورس ایران,-,esnfund.com
101,اعتبار سهام,صندوق سرمایه گذاری اعتبار سهام ایرانیان ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,www.etebarsaham.com
102,اعتلا,سرمایه گذاری اعتلاء البرز ,سهامی عام بورسی ,پذیرفته شده در فرابورس ایران,سرمایه گذاریها,www.etelainvest.ir
103,اعتلا بازار,صندوق سرمایه گذاری اختصاصی بازارگردانی گسترش صنعت دارو ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,-
104,اعتماد,صندوق سرمایه گذاری اعتماد آفرین پارسیان(ETF) ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,پذیرفته شده در فرابورس ایران,صندوق سرمایه گذاری قابل معامله,www.eap-fund.com
105,اعتماد بازار,صندوق سرمایه گذاری اختصاصی بازارگردانی تجارت ایرانیان اعتماد ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,www.tejarat-mmf.com/
106,اعتماد ملی ثابت,صندوق سرمایه گذاری اعتماد کارگزاری بانک ملی ایران ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,-
107,افتخار بازار,صندوق سرمایه گذاری اختصاصی بازارگردانی افتخار حافظ ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,-
108,افرا,افرانت ,سهامی عام بورسی ,پذیرفته شده در فرابورس ایران,رایانه و فعالیت‌های وابسته به آن,www.afranet.com
109,افرا ثابت,افرا نماد پایدار ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,afra.fund
110,افق,فروشگاه های زنجیره ای افق کوروش ,سهامی عام بورسی ,پذیرفته شده در بورس تهران,خرده فروشی، باستثنای وسایل نقلیه موتوری,www.okcs.com
111,افق تجارت کویر,افق تجارت کویر ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
112,افق سبز فوتبال,افق سبز فوتبال ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
113,افق سهام,صندوق سرمایه گذاری مشترک افق ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,www.ofoghfund.com
114,افق ملت,صندوق سرمایه گذاری افق ملت ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,پذیرفته شده در بورس تهران,صندوق سرمایه گذاری قابل معامله,www.mellatetf.com/
115,اقتصاد بیدار بازار,اختصاصی بازار گردانی نهایت اندیش اقتصاد بیدار ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,-
116,اقتصاد نوین سهام,صندوق سرمایه گذاری مشترک بانک اقتصاد نوین ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,www.enbankfund.com/home/index
117,اکتشاف,عملیات اکتشاف نفت ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
118,اکتشاف وتولید تاسیسات دریایی,اکتشاف وتولید تاسیسات دریایی ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
119,اکسیر بازار,صندوق سرمایه گذاری اختصاصی بازارگردانی اکسیر سودا ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,http://esodammf.com/
120,البرز,بیمه البرز ,سهامی عام بورسی ,پذیرفته شده در بورس تهران,بیمه وصندوق بازنشستگی به جز تامین اجتماعی,www.alborzinsurance.ir
121,البرز سهام,صندوق سرمایه گذاری مشترک البرز ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,alborzfunds.com
122,الزهرا نیکو,صندوق سرمایه گذاری نیکوکاری دانشگاه الزهرا ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,-
123,الکترونیک پیشگامان آتیه صبا,تجارت الکترونیک پیشگامان آتیه صبا ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
124,الکترونیک سیرجان,ساخت و تولید قطعات الکترونیک سیرجان ,نهادهای عمومی ,ثبت شده پذیرفته نشده,-,-
125,الگوریتم بازار,اختصاصی بازارگردانی کوشا الگوریتم ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,www.tsfund.ir
126,الگوریتم سهام,مشترک مانا الگوریتم ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,-
127,الماس,صندوق سرمایه گذاری امین تدبیرگران فردا(ETF) ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,پذیرفته شده در فرابورس ایران,صندوق سرمایه گذاری قابل معامله,www.amin.tadbirfounds.com
128,الماس پایدار ثابت,صندوق گنجینه الماس پایدار ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,-
129,الماس دی ثابت,صندوق سرمایه گذاری گنجینه الماس بیمه دی ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,www.almasday.ir
130,امید,تامین سرمایه امید ,سهامی عام بورسی ,پذیرفته شده در بورس تهران,فعالیتهای کمکی به نهادهای مالی واسط,www.omidib.com
131,امید انصار ثابت,صندوق سرمایه گذاری با درآمد ثابت امید انصار ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,-
132,امید بازار,اختصاصی بازارگردانی امید ایرانیان ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,-
133,امید توسعه سهام,صندوق سرمایه گذاری مشترک امید توسعه ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,www.omid-fund.com
134,امید گاز,امید گاز خراسان ,نهادهای عمومی ,ثبت شده پذیرفته نشده,-,-
135,امید نیکو,صندوق سرمایه گذاری نیکوکاری ندای امید ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,www.omid.aban.net
136,امین,تامین سرمایه امین ,سهامی عام بورسی ,پذیرفته شده در بورس تهران,فعالیتهای کمکی به نهادهای مالی واسط,www.aminib.com
170,بازرگانی پارس,مهندسی و بازرگانی پارس ,نهادهای عمومی ,ثبت شده پذیرفته نشده,-,-
137,امین انصار ثابت,صندوق سرمایه گذاری امین انصار ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,-
138,امین بازار,اختصاصی بازارگردانی امین ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,-
139,امین سامان ثابت,صندوق سرمایه گذاری امین سامان ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,http://www.aminsaman.com/
140,امین صبار ثابت,صندوق سرمایه گذاری امین صبار(امین گلوبال) ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,-
141,امین کارآفرین سهام,صندوق سرمایه گذاری امین کارآفرین ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,-
142,امین ملت ثابت,صندوق سرمایه گذاری امین ملت ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,-
143,امین یکم,صندوق سرمایه گذاری امین یکم فردا(ETF) ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,پذیرفته شده در بورس تهران,صندوق سرمایه گذاری قابل معامله,www.aminfarda.com
144,انتشارعلمی فرهنگی,انتشارات علمی و فرهنگی ,نهادهای عمومی ,ثبت شده پذیرفته نشده,-,-
145,اندوخته پایدار ثابت,صندوق سرمایه گذاری اندوخته پایدار سپهر(سپهر آگاه) ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,www.andukhtesepehr.com/
146,اندوخته ثابت,صندوق سرمایه گذاری اندوخته ملت ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,www.andookhtehmellatfund.com
147,اندیشه ثابت,صندوق سرمایه گذاری مشترک اندیشه فردا ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,www.andishefardafund.com
148,اندیشه زرین بازار,صندوق سرمایه گذاری اختصاصی بازارگردانی اندیشه زرین پاسارگاد ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,-
149,انرژی,بورس انرژی ایران ,سهامی عام بورسی ,پذیرفته شده در بورس تهران,فعالیتهای کمکی به نهادهای مالی واسط,www.irenex.ir
150,انصار بازار,صندوق سرمایه گذاری اختصاصی بازگردانی آرمان انصار ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,-
151,اوان,مبین وان کیش ,سهامی عام بورسی ,پذیرفته شده در فرابورس ایران,اطلاعات و ارتباطات,www.mobinone.org
152,اوج ثابت,صندوق سرمایه گذاری اوج ملت ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,www.owjmellat.com
153,اوزان,اوزان ,نهادهای عمومی ,ثبت شده پذیرفته نشده,-,-
154,اوصتا,صندوق سرمایه گذاری اندیشه ورزان صبا تامین ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,پذیرفته شده در فرابورس ایران,صندوق سرمایه گذاری قابل معامله,http://sast.sababroker.com/
155,ایده جسورانه,صندوق سرمایه گذاری جسورانه ایده نو تک آشنا ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,پذیرفته شده در فرابورس ایران,صندوق سرمایه گذاری قابل معامله,-
156,ایران زمین ثابت,صندوق سرمایه گذاری بانک ایران زمین ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,www.izfund.ir
157,ایرانسازه,ایران سازه ,نهادهای عمومی ,ثبت شده پذیرفته نشده,-,-
158,ایران سیلندر,ایران سیلندر ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
159,ایرانیان بازار,صندوق سرمایه گذاری اختصاصی بازارگردانی گروه گردشگری ایرانیان ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,-
160,ایساتیس بازار,صندوق سرمایه گذاری اختصاصی بازارگردانی ایساتیس پویا ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,-
161,ایساتیس سهام,صندوق سرمایه گذاری مشترک ایساتیس پویای یزد ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,www.isatisfund.com
162,ایمیدرو,مادر تخصصی سازمان توسعه و نوسازی معادن و صنایع معدنی ایران ,سهامی عام بورسی ,ثبت نشده نزد سازمان,-,-
163,ایوان,ایوان بهشت ,نهادهای عمومی ,ثبت شده پذیرفته نشده,-,-
164,باختر,کابل باختر ,سهامی عام بورسی ,ثبت نشده نزد سازمان,-,www.bakhtarcableco.com
165,باران,بیمه زندگی باران ,سهامی عام بورسی ,ثبت شده پذیرفته نشده,-,www.baraninsurance.com
166,بارز کردستان,لاستیک بارز کردستان ,نهادهای عمومی ,ثبت شده پذیرفته نشده,-,-
167,بازارگردانی معیار,صندوق سرمایه گذاری اختصاصی بازارگردانی معیار ,نهاد مالی (صندوق سرمایه گذاری در اوراق بهادار) ,ثبت شده پذیرفته نشده,-,-
168,بازرگان پیشرو,جام جم بازرگان پیشرو ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
171,بازرگانی جبل دماوند,بازرگانی جبل دماوند صبا ,نهادهای عمومی ,ثبت شده پذیرفته نشده,-,-
172,بازرگانی خیر,خدماتی بازرگانی خیر کرمان ,نهادهای عمومی ,ثبت نشده نزد سازمان,-,-
173,بازرگانی سیمرغ,بازرگانی صنایع لاستیک سیمرغ ,نهادهای عمومی ,ثبت شده پذیرفته نشده,-,-
174,بازرگانی شیر ایران,بازرگانی صنایع شیر ایران ,نهادهای عمومی ,ثبت شده پذیرفته نشده,-,-
