Item,Translated
سود زیان انباشته ابتدای دوره تعدیل‌شده,سود زیان انباشته ابتدای دوره تعدیل‌شده
سود زیان انباشته ابتدای دوره تعدیل ‌شده,سود زیان انباشته ابتدای دوره تعدیل‌شده
سود زیان انباشته ابتدای دوره تعدیل شده,سود زیان انباشته ابتدای دوره تعدیل‌شده
سود زیان انباشته ابتدای دوره تخصیص نیافته,سود زیان انباشته ابتدای دوره تخصیص نیافته
سود زیان انباشته‌ ابتدای‌ دوره,سود زیان انباشته‌ ابتدای‌ دوره
سود زیان انباشته ابتدای دوره,سود زیان انباشته‌ ابتدای‌ دوره
سود خالص عملیات در حال تداوم,سود خالص عملیات در حال تداوم
سود خالص,سود خالص
سود حاصل از فروش سرمایه گذاری,سود حاصل از فروش سرمایه گذاری
سود حاصل از سرمایهگذاریها,سود حاصل از سرمایه گذاری
سود حاصل از سرمایه گذاری,سود حاصل از سرمایه گذاری
سود حاصل از سایر فعالیتها,سود حاصل از سایر فعالیتها
سود تسهیلات اعطایی -مشاع,سود تسهیلات اعطایی -مشاع
سود تسهیلات اعطایی - غیرمشاع,سود تسهیلات اعطایی - غیرمشاع
سود پرداختی به سپرده های سرمایه گذاری,سود پرداختی به سپرده های سرمایه گذاری
سود پایه هر سهم,سود پایه هر سهم
سود اوراق بهادار با درآمد ثابت یا علیالحساب,سود اوراق بهادار با درآمد ثابت یا علیالحساب
سود انباشته در پایان دوره مالی,سود انباشته در پایان دوره مالی
سود انباشته پایان سال,سود انباشته پایان سال
سود انباشته ابتدای سال- تعدیل‌شده,سود انباشته ابتدای سال- تعدیل‌شده
سود انباشته ابتدای سال,سود انباشته ابتدای سال
سود (زیان) هر واحد سرمایهگذاری,سود (زیان) هر واحد سرمایهگذاری
سود (زیان) ناخالص,سود (زیان) ناخالص
سود (زیان) قبل از هزینههای مالی,سود (زیان) قبل از هزینههای مالی
سود (زیان) قبل از احتساب سهم گروه از سود شرکتهای وابسته,سود (زیان) قبل از احتساب سهم گروه از سود شرکتهای وابسته
سود (زیان) فروش سرمایهگذاریها,سود (زیان) فروش سرمایهگذاریها
سود (زیان) فروش اوراق بهادار,سود (زیان) فروش اوراق بهادار
سود (زیان) عملیاتی,سود (زیان) عملیاتی
سود (زیان) عملیات متوقف شده پس از اثر مالیاتی,سود (زیان) عملیات متوقف شده پس از اثر مالیاتی
سود (زیان) عملیات در حال تداوم قبل از مالیات,سود (زیان) عملیات در حال تداوم قبل از مالیات
سود (زیان) خالص هر سهم–ریال,سود (زیان) خالص هر سهم–ریال
سود (زیان) خالص هر سهم– ریال,سود (زیان) خالص هر سهم–ریال
سود (زیان) خالص قابل انتساب به صاحبان سهام شرکت اصلی,سود (زیان) خالص قابل انتساب به صاحبان سهام شرکت اصلی
سود (زیان) خالص عملیات متوقف شده,سود (زیان) خالص عملیات متوقف شده
سود (زیان) خالص عملیات در حال تداوم,سود (زیان) خالص عملیات در حال تداوم
سود (زیان) خالص,سود (زیان) خالص
سود (زیان) تقلیل یافته هر سهم ناشی از عملیات متوقف شده,سود (زیان) تقلیل یافته هر سهم ناشی از عملیات متوقف شده
سود (زیان) تقلیل یافته هر سهم ناشی از عملیات در حال تداوم- غیرعملیاتی,سود (زیان) تقلیل یافته هر سهم ناشی از عملیات در حال تداوم- غیرعملیاتی
سود (زیان) تقلیل یافته هر سهم ناشی از عملیات در حال تداوم- عملیاتی,سود (زیان) تقلیل یافته هر سهم ناشی از عملیات در حال تداوم- عملیاتی
سود (زیان) تقلیل یافته هر سهم,سود (زیان) تقلیل یافته هر سهم
سود (زیان) تغییر ارزش سرمایهگذاریها,سود (زیان) تغییر ارزش سرمایهگذاریها
سود (زیان) تحقق نیافته نگهداری اوراق بهادار,سود (زیان) تحقق نیافته نگهداری اوراق بهادار
سود (زیان) پایه هر سهم ناشی از عملیات متوقف شده,سود (زیان) پایه هر سهم ناشی از عملیات متوقف شده
سود (زیان) پایه هر سهم ناشی از عملیات در حال تداوم- غیرعملیاتی,سود (زیان) پایه هر سهم ناشی از عملیات در حال تداوم- غیرعملیاتی
سود (زیان) پایه هر سهم ناشی از عملیات در حال تداوم- عملیاتی,سود (زیان) پایه هر سهم ناشی از عملیات در حال تداوم- عملیاتی
سود (زیان) پایه هر سهم,سود (زیان) پایه هر سهم
سود (زیان) انباشته قابل انتساب به صاحبان سهام شرکت اصلی,سود (زیان) انباشته قابل انتساب به صاحبان سهام شرکت اصلی
سود (زیان) انباشته پایان سال,سود (زیان) انباشته پایان سال
سود (زیان) انباشته پایان دوره,سود (زیان) انباشته پایان دوره
سود (زیان) انباشته ابتدای سال,سود (زیان) انباشته ابتدای سال
سود (زیان) انباشته ابتدای دوره تعدیل شده,سود (زیان) انباشته ابتدای دوره تعدیل شده
سود (زیان) انباشته ابتدای دوره تخصیص نیافته,سود (زیان) انباشته ابتدای دوره تخصیص نیافته
سود (زیان) انباشته ابتدای دوره,سود (زیان) انباشته ابتدای دوره
سهم گروه از سود شرکت‌های وابسته,سهم گروه از سود شرکت‌های وابسته
سهم گروه از سود شرکتهای وابسته,سهم گروه از سود شرکت‌های وابسته
سهم سود سپرده‌گذاران,سهم سود سپرده‌گذاران
سهم سود سپرده گذاران,سهم سود سپرده‌گذاران
سهم بانک از درآمدهای مشاع شامل حق الوکاله,سهم بانک از درآمدهای مشاع شامل حق الوکاله
سهم بانک از درآمدهای مشاع,سهم بانک از درآمدهای مشاع
سهم اقلیت از سود زیان خالص,سهم اقلیت از سود زیان خالص
سهم اقلیت از سود زیان انباشته,سهم اقلیت از سود زیان انباشته
سهم اقلیت از سود (زیان) خالص,سهم اقلیت از سود زیان خالص
سهم اقلیت از سود (زیان) انباشته,سهم اقلیت از سود زیان انباشته
سرمایه,سرمایه
سایر هزینه‌های عملیاتی,سایر هزینه‌های عملیاتی
سایر هزینههای عملیاتی,سایر هزینه‌های عملیاتی
سایر هزینه‌های اجرایی,سایر هزینه‌های اجرایی
سایر هزینهها,سایر هزینه ها
سایر هزینه ها,سایر هزینه ها
سایر درآمدهای عملیاتی,سایر درآمدهای عملیاتی
سایر درآمدها و هزینه‌های غیرعملیاتی- درآمد سرمایه‌گذاری‌ها,سایر درآمدها و هزینه‌های غیرعملیاتی- درآمد سرمایه‌گذاری‌ها
سایر درآمدها و هزینههای غیرعملیاتی- درآمد سرمایهگذاریها,سایر درآمدها و هزینه‌های غیرعملیاتی- درآمد سرمایه‌گذاری‌ها
سایر درآمدها و هزینه‌های غیرعملیاتی- اقلام متفرقه,سایر درآمدها و هزینه‌های غیرعملیاتی- اقلام متفرقه
سایر درآمدها و هزینههای غیرعملیاتی- اقلام متفرقه,سایر درآمدها و هزینه‌های غیرعملیاتی- اقلام متفرقه
سایر درآمدها و هزینه‌های غیرعملیاتی,سایر درآمدها و هزینه‌های غیرعملیاتی
سایر درآمدها و هزینههاى غیرعملیاتى,سایر درآمدها و هزینه‌های غیرعملیاتی
سایر درآمدها هزینه های عملیاتی,سایر درآمدها و هزینه‌های غیرعملیاتی
سایر درآمدها,سایر درآمدها
سایر درآمد هزینه های بیمه ای,سایر درآمد هزینه های بیمه ای
سایر اندوخته‌ها,سایر اندوخته‌ها
سایر اندوخته ها,سایر اندوخته‌ها
سالهای قبل,سالهای قبل
سال جاری,سال جاری
درآمدهای عملیاتی,درآمدهای عملیاتی
درآمدها,درآمدها
درآمد کارمزد و کارمزد منافع اتکایی,درآمد کارمزد و کارمزد منافع اتکایی
درآمد کارمزد,درآمد کارمزد
درآمد فروش املاک,درآمد فروش املاک
درآمد سود سهام,درآمد سود سهام
درآمد سود تضمین شده,درآمد سود تضمین شده
درآمد سرمایه گذاری از محل سایر منابع,درآمد سرمایه گذاری از محل سایر منابع
درآمد سرمایه گذاری از محل ذخایر فنی,درآمد سرمایه گذاری از محل ذخایر فنی
درآمد حق بیمه سهم نگهداری,درآمد حق بیمه سهم نگهداری
درآمد حق بیمه,درآمد حق بیمه
درآمد حاصل از عملیات لیزینگ,درآمد حاصل از عملیات لیزینگ
درآمد حاصل از سرمایه گذاریها,درآمد حاصل از سرمایه گذاریها
درآمد حاصل از سرمایه گذاری در اوراق مشارکت,درآمد حاصل از سرمایه گذاری در اوراق مشارکت
درآمد حاصل از سپرده گذاریها,درآمد حاصل از سپرده گذاریها
درآمد حاصل از سایر فعالیتها,درآمد حاصل از سایر فعالیتها
درآمد حاصل از تسهیلات اعطایی,درآمد حاصل از تسهیلات اعطایی
در صورت تغییر اطلاعات واقعی دوره منتهی به 1397/06/31 دلایل تغییرات را در بخش زیر وارد نمایید,در صورت تغییر اطلاعات واقعی دوره منتهی به 1397/06/31 دلایل تغییرات را در بخش زیر وارد نمایید
خسارت سهم بیمه گران اتکایی,خسارت سهم بیمه گران اتکایی
خسارت دریافتی از بیمه گران اتکایی,خسارت دریافتی از بیمه گران اتکایی
خسارت پرداختی,خسارت پرداختی
خالص سایر هزینه های بیمه ای,خالص سایر هزینه های بیمه ای
خالص سایر درآمدها و هزینه های غیرعملیاتی,خالص سایر درآمدها و هزینه های غیرعملیاتی
خالص سایر درآمدها و هزینه های غیر بیمه ای,خالص سایر درآمدها و هزینه های غیر بیمه ای
خالص سایر درآمدها هزینه ها ی عملیاتی,خالص سایر درآمدها هزینه ها ی عملیاتی
خالص درآمد هزینه های متفرقه,خالص درآمد هزینه های متفرقه
حق بیمه صادره قبولی اتکایی,حق بیمه صادره قبولی اتکایی
حق بیمه صادره,حق بیمه صادره
حق بیمه اتکایی واگذاری,حق بیمه اتکایی واگذاری
جمع هزینه‌ها,جمع هزینه‌ها
جمع هزینهها,جمع هزینه‌ها
جمع هزینه های عملیاتی,جمع هزینه های عملیاتی
جمع هزینه ها,جمع هزینه‌ها
جمع سایر درآمدها و هزینه های غیر عملیاتی و هزینه های مالی,جمع سایر درآمدها و هزینه های غیر عملیاتی و هزینه های مالی
جمع درآمدهای مشاع,جمع درآمدهای مشاع
جمع درآمدهای غیرمشاع,جمع درآمدهای غیرمشاع
جمع درآمدهای عملیاتی,جمع درآمدهای عملیاتی
جمع درآمدها,جمع درآمدها
جمع تغییرات در سود زیان انباشته,جمع تغییرات در سود زیان انباشته
جمع تغییرات در سود انباشته,جمع تغییرات در سود زیان انباشته
تفاوت سود قطعی و علی‌الحساب سپرده‌های سرمایه‌گذاری,تفاوت سود قطعی و علی‌الحساب سپرده‌های سرمایه‌گذاری
تفاوت سود قطعی و علی الحساب سپرده های سرمایه گذاری,تفاوت سود قطعی و علی‌الحساب سپرده‌های سرمایه‌گذاری
تغییرات سرمایه از محل سود زیان انباشته,تغییرات سرمایه از محل سود زیان انباشته
تغییرات سرمایه از محل سود (زیان) انباشته,تغییرات سرمایه از محل سود زیان انباشته
تعدیلات‌ سنواتی‌,تعدیلات سنواتی
تعدیلات سنواتی,تعدیلات سنواتی
تعدیلات سنواتى,تعدیلات سنواتی
پاداش هیات مدیره,پاداش هیات مدیره
پاداش عملکرد,پاداش عملکرد
بهای تمام شده کالای فروش رفته,بهای تمام شده کالای فروش رفته
بهای تمام شده فروش,بهای تمام شده فروش
بهای تمام ‌شده درآمدهای عملیاتی,بهای تمام ‌شده درآمدهای عملیاتی
بهای تمام شده درآمدهای عملیاتی,بهای تمام ‌شده درآمدهای عملیاتی
بهای تمام شده املاک فروخته شده,بهای تمام شده املاک فروخته شده
بهاى تمام شده درآمدهای عملیاتی,بهاى تمام شده درآمدهای عملیاتی
برگشت زیان کاهش ارزشزیان کاهش ارزش,برگشت زیان کاهش ارزش
اندوخته‌ قانونی‌,اندوخته قانونی
اندوخته قانونی,اندوخته قانونی
اندوخته طرح و توسعه,اندوخته طرح و توسعه
اندوخته سرمایه ای,اندوخته سرمایه ای
انتقال به سایر اندوخته‌ها,انتقال به سایر اندوخته‌ها
انتقال به سایر اندوختهها,انتقال به سایر اندوخته‌ها
انتقال به اندوخته‌ قانونی‌,انتقال به اندوخته قانونی
انتقال به اندوخته قانونی,انتقال به اندوخته قانونی
انتقال‌ از سایر اقلام حقوق صاحبان سهام,انتقال‌ از سایر اقلام حقوق صاحبان سهام
انتقال از سایر اقلام حقوق صاحبان سهام,انتقال‌ از سایر اقلام حقوق صاحبان سهام
اقلام غیر مترقبه، اثرات انباشته تغییر در اصول و روشهای حسابداری و مالیات,اقلام غیر مترقبه، اثرات انباشته تغییر در اصول و روشهای حسابداری و مالیات
اقلام غیر مترقبه اثرات انباشته تغییر در اصول و روشهای حسابداری و مالیات,اقلام غیر مترقبه، اثرات انباشته تغییر در اصول و روشهای حسابداری و مالیات
افزایش کاهش سایر ذخایر فنی,افزایش کاهش سایر ذخایر فنی
افزایش کاهش ذخیره خسارت معوق بیمه اتکایی واگذاری,افزایش کاهش ذخیره خسارت معوق بیمه اتکایی واگذاری
افزایش کاهش ذخایر حق بیمه اتکایی واگذاری,افزایش کاهش ذخایر حق بیمه اتکایی واگذاری
افزایش سرمایه از محل سود انباشته,افزایش سرمایه از محل سود انباشته
10000,Error
